SCB,,,
A-regioner i nummerordning med ingående kommuner ,,,
A regions in numerical order with the associated municipalities ,,,
,,,
A-region,,Kommun,
A region,,Municipality,
01,Stockholm/Södertälje                    ,,
,,0127,Botkyrka
,,0162,Danderyd
,,0125,Ekerö
,,0136,Haninge
,,0126,Huddinge
,,0123,Järfälla
,,0186,Lidingö
,,0182,Nacka
,,0140,Nykvarn
,,0192,Nynäshamn
,,0128,Salem
,,0191,Sigtuna
,,0163,Sollentuna
,,0184,Solna
,,0180,Stockholm
,,0183,Sundbyberg
,,0181,Södertälje
,,0138,Tyresö
,,0160,Täby
,,0114,Upplands Väsby
,,0139,Upplands-Bro
,,0115,Vallentuna
,,0187,Vaxholm
,,0120,Värmdö
,,0117,Österåker
,,,
02,Norrtälje                               ,,
,,0188,Norrtälje
,,,
03,Enköping                                ,,
,,0381,Enköping
,,0305,Håbo
,,,
04,Uppsala                                 ,,
,,0330,Knivsta
,,0380,Uppsala
,,0382,Östhammar
,,,
05,Nyköping                                ,,
,,0461,Gnesta
,,0480,Nyköping
,,0481,Oxelösund
,,0488,Trosa
,,,
06,Katrineholm                             ,,
,,0482,Flen
,,0483,Katrineholm
,,0428,Vingåker
,,,
07,Eskilstuna                              ,,
,,0484,Eskilstuna
,,0486,Strängnäs
,,,
08,Mjölby/Motala                           ,,
,,0560,Boxholm
,,0586,Mjölby
,,0583,Motala
,,0584,Vadstena
,,0509,Ödeshög
,,,
09,Linköping                               ,,
,,0513,Kinda
,,0580,Linköping
,,0561,Åtvidaberg
,,,
10,Norrköping                              ,,
,,0562,Finspång
,,0581,Norrköping
,,0582,Söderköping
,,0563,Valdemarsvik
,,,
11,Jönköping                               ,,
,,0643,Habo
,,0680,Jönköping
,,0642,Mullsjö
,,0665,Vaggeryd
,,,
12,Tranås                                  ,,
,,0604,Aneby
,,0687,Tranås
,,0512,Ydre
,,,
13,Eksjö/Nässjö/Vetlanda                   ,,
,,0686,Eksjö
,,0682,Nässjö
,,0684,Sävsjö
,,0685,Vetlanda
,,,
14,Värnamo                                 ,,
,,0662,Gislaved
,,0617,Gnosjö
,,0683,Värnamo
,,,
15,Ljungby                                 ,,
,,0781,Ljungby
,,0767,Markaryd
,,,
16,Växjö                                   ,,
,,0764,Alvesta
,,0761,Lessebo
,,0763,Tingsryd
,,0760,Uppvidinge
,,0780,Växjö
,,0765,Älmhult
,,,
17,Västervik                               ,,
,,0883,Västervik
,,,
18,Hultsfred/Vimmerby                      ,,
,,0860,Hultsfred
,,0884,Vimmerby
